Country,"Export price index (EPI), Free on board (FOB)","Export price index (EPI), Free on board (FOB), Period-over-preceding period percent change","Export price index (EPI), Free on board (FOB), Year-over-year (YOY) percent change","Exports of goods, Price deflator, Free on board (FOB), Index","Exports of goods, Price deflator, Free on board (FOB), Period-over-preceding period percent change","Exports of goods, Price deflator, Free on board (FOB), US dollars, index","Exports of goods, Price deflator, Free on board (FOB), Year-over-year (YOY) percent change","Import price index, Cost insurance freight (CIF)","Import price index, Cost insurance freight (CIF), Period-over-preceding period percent change","Import price index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Imports of goods, Price deflator, Cost insurance freight (CIF), Index","Imports of goods, Price deflator, Cost insurance freight (CIF), Period-over-preceding period percent change","Imports of goods, Price deflator, Cost insurance freight (CIF), US dollars, index","Imports of goods, Price deflator, Cost insurance freight (CIF), Year-over-year (YOY) percent change"
Albania,,,,,,,,,,,,5.445838263602503,,
Algeria,,,,,,,,,,,,2.8086865143353865,,
Argentina,,,,,,,,,,,,5.218399517227487,,
"Armenia, Republic of",,,,,,,,,,,,11.568306951685283,,
Australia,94.30786333656602,3.6050427407809296,6.038832960718021,,,,,,0.5089681290974837,0.8541025439684253,,3.8093570791494997,,
Austria,98.98712963485463,0.4836113926453141,0.7455869066167249,98.85584599706877,0.4201561232593819,101.63920510007435,0.6789042596050665,,0.7008742805502058,1.0628355070214603,,0.4254303491845539,,
"Bahrain, Kingdom of",,,,,,,,,,,,2.923450761888266,,
Bangladesh,,,,100.0,2.403900033620982,,2.403900033620982,5.969900594213346,,,100.0,,,5.969900594213346
"Belarus, Republic of",,,,,,,,,,,,3.8705827568595996,,
Belgium,,,,,,,,,,,,0.298257995728485,,
Bolivia,,,,,,,,,,,,7.882480952679707,,
Brazil,94.2188088711345,1.4580938605395994,3.439170346761054,85.5691117701743,1.9593434819736428,91.04539449691798,3.9735649688564414,2.145761805252375,0.9099656283479288,2.1316744727532786,80.87484816313831,5.878456762326806,88.86826441820587,4.705869587563509
Bulgaria,,,,93.16408878238636,0.2557583677332434,93.8888788252059,0.46393005359770195,0.03564171489685495,,,97.54651833795862,5.39859524180539,98.07805058397088,0.07004710290606969
Canada,102.65041653810553,0.5404620946887677,0.5404620946887677,97.85900237492073,0.7537478372799034,100.71720416897278,1.8121698600464449,0.16099891858676674,0.35707493424124764,0.35707493424124764,102.63768654818553,2.10962565253731,101.61816816581988,0.4359410378378503
Chile,,,,91.84062022464433,-0.474492482611034,91.84062022464433,0.2182065926921748,-1.4279476944244431,,,101.38232671524801,5.460990005932207,101.38232671524801,-2.2415912429397284
"China, People's Republic of",104.8806857997052,0.6740553897853631,1.467145828896846,,,,,,0.6330964067897566,1.4629051863246845,,6.162155043867347,,
Colombia,100.11881811529456,3.0969538724058627,7.477829731497256,,,,,,1.4598914084965582,3.705078375563753,,5.103991084366376,,
Costa Rica,,,,95.0791871540142,0.3604915682167949,99.53717443747422,0.8189450669007957,0.9830363625397291,,,93.31911633443046,3.6176309891921736,101.49110296766158,2.270584391333319
"Croatia, Republic of",,,,,,,,,,,,3.0096133122495603,,
Cyprus,,,,,,,,,,,,13.640450129006265,,
Czech Republic,105.05900894015421,0.2313543843175041,0.5771651146586226,101.36640896608824,0.052443959123512435,101.56145556638809,0.3285852210747828,0.03738242806135181,0.2098260483982067,0.5259308806972496,98.87907693467547,2.8351765988244297,98.8977276071173,0.2759079286936742
Denmark,,,,109.5193425519222,0.06653343893450267,105.98198214197248,0.2114518883371291,-0.008382068236298714,0.9026414653743959,2.0643732778083397,109.95483638653623,-0.12756317589358643,106.25269046072073,0.05957969107736626
