Country,Series_Name,Transformation,Frequency,Average_2000_2025,Total_Sum_2000_2025,Data_Points,Latest_Value,Latest_Period
Bolivia,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,123.9638536795601,9545.216733326128,77,88.12020322127339,2024-Q1
Colombia,"Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,94.29011444563906,3771.6045778255625,40,90.50791462921028,2009-Q4
Japan,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,105.31971480282061,7688.339180605904,73,125.6596322555383,2018-Q1
"Iran, Islamic Republic of","Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,104.0150038066589,1560.2250570998835,15,111.4366887638572,2003-Q3
Colombia,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,100.11881811529454,4004.7527246117816,40,129.7926156097717,2009-Q4
Finland,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,103.38166666666669,7546.8616666666685,73,105.6666666666667,2018-Q1
United Kingdom,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,92.04698490240946,7179.664822387938,78,105.5889664020528,2019-Q2
United Kingdom,"Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,92.85505210162749,7242.694063926944,78,107.0123939986956,2019-Q2
Switzerland,"Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,94.64371551967118,9369.727836447446,99,88.91466686000142,2024-Q3
Norway,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,92.46527846571439,6287.638935668579,68,102.0545638262041,2016-Q4
Greece,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,96.19713690607054,7695.770952485643,80,104.4892512799024,2019-Q4
Thailand,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,97.54504784420425,7706.058779692135,79,105.3573600708985,2020-Q1
Malta,"Imports of goods, Price deflator, Cost insurance freight (CIF), Index","Cost insurance freight (CIF), Index",Quarterly,98.06382704450185,5393.510487447602,55,101.757871422077,2018-Q4
Malta,"Imports of goods, Price deflator, Cost insurance freight (CIF), US dollars, index","Cost insurance freight (CIF), US dollars, index",Quarterly,98.89875633354816,5142.735329344505,52,101.757871422077,2018-Q4
Paraguay,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,103.80638696764095,7993.091796508353,77,97.61591890369814,2024-Q1
Kenya,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,106.92836575189521,8233.484162895931,77,125.8823529411765,2024-Q1
South Africa,"Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,122.20916568742658,5621.621621621623,46,128.7390976634005,2021-Q2
Ireland,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,104.43194224727246,7101.372072814527,68,101.1582368135989,2016-Q4
Italy,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,96.47132352361584,6945.9352937003405,72,121.4666666666667,2017-Q4
Tunisia,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,91.02276822790165,7099.775921776329,78,100.3055612140966,2024-Q2
Chile,"Imports of goods, Price deflator, Cost insurance freight (CIF), Index","Cost insurance freight (CIF), Index",Quarterly,100.98771133128976,3938.5207419203007,39,90.64739063888727,2017-Q3
France,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,98.26303894167842,7074.938803800846,72,111.2426035502959,2017-Q4
Pakistan,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,101.76505129356495,6614.728334081722,65,115.6713066906152,2021-Q1
Japan,"Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,92.13925557682904,7739.69746845364,84,86.49580688141704,2021-Q3
Ecuador,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,121.42776411321785,9349.937836717774,77,168.1723995026937,2024-Q1
"Hong Kong Special Administrative Region, People's Republic of China","Imports of goods, Volume index, Cost insurance freight (CIF)","Cost insurance freight (CIF), Index",Quarterly,93.56143092876093,8139.844490802201,87,136.3929451924901,2021-Q3
United States,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,98.95623353742567,9598.75465313029,97,120.4467005076142,2024-Q1
"Latvia, Republic of","Exports of goods, Price deflator, Free on board (FOB), US dollars, index","Free on board (FOB), US dollars, index",Quarterly,106.66518306642027,4906.598421055332,46,117.9734904691753,2017-Q2
Jordan,"Exports of goods, Volume index, Free on board (FOB)","Free on board (FOB), Index",Quarterly,104.37060948831676,8140.907540088708,78,154.6229955646537,2024-Q2
Austria,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,99.05095887914666,8815.535340244052,89,110.2849058745431,2022-Q1
United States,"Imports of goods, Volume index, Cost insurance freight (CIF), Year-over-year (YOY) percent change","Cost insurance freight (CIF), Index",Quarterly,96.5455278465704,9364.916201117328,97,110.3121919158726,2024-Q1
Mauritius,"Export price index (EPI), Free on board (FOB)","Free on board (FOB), Index",Quarterly,96.8876543675947,5813.2592620556825,60,106.4102564102564,2015-Q4
"Latvia, Republic of","Imports of goods, Price deflator, Cost insurance freight (CIF), US dollars, index","Cost insurance freight (CIF), US dollars, index",Quarterly,103.69659470264514,4770.043356321677,46,108.8060175697942,2017-Q2
Malta,"Exports of goods, Price deflator, Free on board (FOB), US dollars, index","Free on board (FOB), US dollars, index",Quarterly,95.55972178002733,4969.105532561422,52,92.00618133965897,2018-Q4
Malta,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,93.81972094638206,5160.084652051013,55,92.00618133965897,2018-Q4
"Netherlands, The","Imports of goods, Price deflator, Cost insurance freight (CIF), US dollars, index","Cost insurance freight (CIF), US dollars, index",Quarterly,101.49983809375458,4871.992228500219,48,101.4427487282128,2017-Q4
Spain,"Exports of goods, Price deflator, Free on board (FOB), Index","Free on board (FOB), Index",Quarterly,100.87033968788272,7464.405136903321,74,107.874969711655,2018-Q2
Germany,"Imports of goods, Price deflator, Cost insurance freight (CIF), Index","Cost insurance freight (CIF), Index",Quarterly,103.72797159255052,7779.597869441289,75,115.5162340372255,2018-Q3
